Country ,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual
Finland,Western Europe,1,7.632,1.305,1.592,0.874,0.681,0.393,0.202,2.585
Norway,Western Europe,2,7.594,1.456,1.582,0.861,0.686,0.34,0.286,2.383
Denmark,Western Europe,3,7.555,1.351,1.59,0.868,0.683,0.408,0.284,2.371
Iceland,Western Europe,4,7.495,1.343,1.644,0.914,0.677,0.138,0.353,2.426
Switzerland,Western Europe,5,7.487,1.42,1.549,0.927,0.66,0.357,0.256,2.318
Netherlands,Western Europe,6,7.441,1.361,1.488,0.878,0.638,0.295,0.333,2.448
Canada,North America,7,7.328,1.33,1.532,0.896,0.653,0.291,0.321,2.305
New Zealand,Australia and New Zealand,8,7.324,1.268,1.601,0.876,0.669,0.389,0.365,2.156
Sweden,Western Europe,9,7.314,1.355,1.501,0.913,0.659,0.383,0.285,2.218
Australia,Australia and New Zealand,10,7.272,1.34,1.573,0.91,0.647,0.302,0.361,2.139
United Kingdom,Western Europe,11,7.19,1.244,1.433,0.888,0.464,0.082,0.262,2.817
Austria,Western Europe,12,7.139,1.341,1.504,0.891,0.617,0.224,0.242,2.32
Costa Rica,Latin America and Caribbean,13,7.072,1.01,1.459,0.817,0.632,0.101,0.143,2.91
Ireland,Western Europe,14,6.977,1.448,1.583,0.876,0.614,0.306,0.307,1.843
Germany,Western Europe,15,6.965,1.34,1.474,0.861,0.586,0.28,0.273,2.151
Belgium,Western Europe,16,6.927,1.324,1.483,0.894,0.583,0.24,0.188,2.215
Luxembourg,Western Europe,17,6.91,1.576,1.52,0.896,0.632,0.321,0.196,1.769
United States,North America,18,6.886,1.398,1.471,0.819,0.547,0.133,0.291,2.227
Israel,Middle East and Northern Africa,19,6.814,1.301,1.559,0.883,0.533,0.272,0.354,1.912
United Arab Emirates,Middle East and Northern Africa,20,6.774,2.096,0.776,0.67,0.284,N/A,0.186,2.762
Czech Republic,Central and Eastern Europe,21,6.711,1.233,1.489,0.854,0.543,0.034,0.064,2.494
Malta,Western Europe,22,6.627,1.27,1.525,0.884,0.645,0.142,0.376,1.785
France,Western Europe,23,6.489,1.293,1.466,0.908,0.52,0.176,0.098,2.028
Mexico,Latin America and Caribbean,24,6.488,1.038,1.252,0.761,0.479,0.095,0.069,2.794
Chile,Latin America and Caribbean,25,6.476,1.131,1.331,0.808,0.431,0.061,0.197,2.517
Panama,Latin America and Caribbean,27,6.43,1.112,1.438,0.759,0.597,0.063,0.125,2.336
Brazil,Latin America and Caribbean,28,6.419,0.986,1.474,0.675,0.493,0.088,0.11,2.593
Argentina,Latin America and Caribbean,29,6.388,1.073,1.468,0.744,0.57,0.054,0.062,2.417
Guatemala,Latin America and Caribbean,30,6.382,0.781,1.268,0.608,0.604,0.071,0.179,2.871
Uruguay,Latin America and Caribbean,31,6.379,1.093,1.459,0.771,0.625,0.155,0.13,2.146
Saudi Arabia,Middle East and Northern Africa,33,6.371,1.379,1.331,0.633,0.509,0.127,0.098,2.294
Singapore,Southeastern Asia,34,6.343,1.529,1.451,1.008,0.631,0.457,0.261,1.006
Malaysia,Southeastern Asia,35,6.322,1.161,1.258,0.669,0.356,0.059,0.311,2.508
Spain,Western Europe,36,6.31,1.251,1.538,0.965,0.449,0.074,0.142,1.891
Colombia,Latin America and Caribbean,37,6.26,0.96,1.439,0.635,0.531,0.039,0.099,2.557
Slovakia,Central and Eastern Europe,39,6.173,1.21,1.537,0.776,0.354,0.014,0.118,2.164
El Salvador,Latin America and Caribbean,40,6.167,0.806,1.231,0.639,0.461,0.082,0.065,2.883
Nicaragua,Latin America and Caribbean,41,6.141,0.668,1.319,0.7,0.527,0.128,0.208,2.591
Poland,Central and Eastern Europe,42,6.123,1.176,1.448,0.781,0.546,0.064,0.108,2
Bahrain,Middle East and Northern Africa,43,6.105,1.338,1.366,0.698,0.594,0.123,0.243,1.743
Uzbekistan,Central and Eastern Europe,44,6.096,0.719,1.584,0.605,0.724,0.259,0.328,1.877
Kuwait,Middle East and Northern Africa,45,6.083,1.474,1.301,0.675,0.554,0.106,0.167,1.806
Thailand,Southeastern Asia,46,6.072,1.016,1.417,0.707,0.637,0.029,0.364,1.902
Italy,Western Europe,47,6,1.264,1.501,0.946,0.281,0.028,0.137,1.843
Ecuador,Latin America and Caribbean,48,5.973,0.889,1.33,0.736,0.556,0.12,0.114,2.228
Lithuania,Central and Eastern Europe,50,5.952,1.197,1.527,0.716,0.35,0.006,0.026,2.13
Slovenia,Central and Eastern Europe,51,5.948,1.219,1.506,0.856,0.633,0.051,0.16,1.523
Romania,Central and Eastern Europe,52,5.945,1.116,1.219,0.726,0.528,0.001,0.088,2.267
Latvia,Central and Eastern Europe,53,5.933,1.148,1.454,0.671,0.363,0.066,0.092,2.139
Japan,Eastern Asia,54,5.915,1.294,1.462,0.988,0.553,0.15,0.079,1.389
Mauritius,Sub-Saharan Africa,55,5.891,1.09,1.387,0.684,0.584,0.05,0.245,1.851
Jamaica,Latin America and Caribbean,56,5.89,0.819,1.493,0.693,0.575,0.031,0.096,2.183
South Korea,Eastern Asia,57,5.875,1.266,1.204,0.955,0.244,0.051,0.175,1.98
Russia,Central and Eastern Europe,59,5.81,1.151,1.479,0.599,0.399,0.025,0.065,2.092
Kazakhstan,Central and Eastern Europe,60,5.79,1.143,1.516,0.631,0.454,0.121,0.148,1.777
Cyprus,Western Europe,61,5.762,1.229,1.191,0.909,0.423,0.035,0.202,1.773
Bolivia,Latin America and Caribbean,62,5.752,0.751,1.223,0.508,0.606,0.054,0.141,2.469
Estonia,Central and Eastern Europe,63,5.739,1.2,1.532,0.737,0.553,0.174,0.086,1.457
