region,happiness_score_avg,year
Australia and New Zealand,7.2850,2015
Central and Eastern Europe,5.2950,2015
Eastern Asia,5.4947,2015
Latin America and Caribbean,5.6945,2015
Middle East and Northern Africa,5.5313,2015
North America,7.2868,2015
Southeastern Asia,5.2729,2015
Southern Asia,4.5012,2015
Sub-Saharan Africa,4.5195,2015
Western Europe,6.0985,2015
Australia and New Zealand,7.3235,2016
Central and Eastern Europe,5.2933,2016
Eastern Asia,5.5129,2016
Latin America and Caribbean,5.6728,2016
Middle East and Northern Africa,5.5106,2016
North America,7.2226,2016
Southeastern Asia,5.2802,2016
Southern Asia,4.5130,2016
Sub-Saharan Africa,4.5318,2016
Western Europe,6.0922,2016
Australia and New Zealand,7.2990,2017
Central and Eastern Europe,5.2980,2017
Eastern Asia,5.5214,2017
Latin America and Caribbean,5.6458,2017
Middle East and Northern Africa,5.4970,2017
North America,7.1739,2017
Southeastern Asia,5.2931,2017
Southern Asia,4.5760,2017
Sub-Saharan Africa,4.5902,2017
Western Europe,6.0713,2017
Australia and New Zealand,7.2980,2018
Central and Eastern Europe,5.3205,2018
Eastern Asia,5.5598,2018
Latin America and Caribbean,5.6649,2018
Middle East and Northern Africa,5.5004,2018
North America,7.1555,2018
Southeastern Asia,5.3144,2018
Southern Asia,4.6324,2018
Sub-Saharan Africa,4.6558,2018
Western Europe,6.0840,2018
Australia and New Zealand,7.2675,2019
Central and Eastern Europe,5.3517,2019
Eastern Asia,5.5893,2019
Latin America and Caribbean,5.6909,2019
Middle East and Northern Africa,5.5254,2019
North America,7.2229,2019
Southeastern Asia,5.3450,2019
Southern Asia,4.6968,2019
Sub-Saharan Africa,4.7387,2019
Western Europe,6.1042,2019
Australia and New Zealand,7.2612,2020
Central and Eastern Europe,5.3974,2020
Eastern Asia,5.6318,2020
Latin America and Caribbean,5.7396,2020
Middle East and Northern Africa,5.5695,2020
North America,7.2104,2020
Southeastern Asia,5.3996,2020
Southern Asia,4.7638,2020
Sub-Saharan Africa,4.8011,2020
Western Europe,6.1442,2020
Australia and New Zealand,7.2300,2021
Central and Eastern Europe,5.4474,2021
Eastern Asia,5.6928,2021
Latin America and Caribbean,5.7667,2021
Middle East and Northern Africa,5.6059,2021
North America,7.1813,2021
Southeastern Asia,5.4487,2021
Southern Asia,4.8506,2021
Sub-Saharan Africa,4.8753,2021
Western Europe,6.1640,2021
